rating,review,cluster
5/10,"actuaciones correctas, aunque ninguna realmente destaca.",3
6/10,"visualmente atractiva, aunque la trama es bastante predecible.",3
5/10,"un filme promedio, ni bueno ni malo, ideal para pasar el rato.",3
6/10,"cumple con las expectativas básicas, pero no logra emocionar.",3
5/10,"podría haber sido mejor, pero tampoco es una mala experiencia.",1
6/10,"una película que se deja ver, pero sin dejar una gran impresión.",0
5/10,es entretenida pero carece de profundidad en el desarrollo de personajes.,0
10.0,La pelicula me gusto mucho,1
4.0,no me gusto esta pelicula,1
2.0,No me gusto,1
1.0,Pesima pelicula,1
1.0,muy mala,1
2.0,no me gusto,1
